"Year","Sport","N","Players"
2000,"Swimming",3,"Alexander Popov, Michael Phelps, Pieter Van Den Hoogenband"
2000,"Tennis",2,"Pete Sampras, Roger Federer"
2001,"Baseball",1,"Barry Bonds"
2001,"Basketball",2,"John Stockton, Michael Jordan"
2001,"Chess",1,"Garry Kasparov"
2001,"Cricket",0,NA
2001,"Football",4,"Brett Favre, Jerry Rice, Peyton Manning, Tom Brady"
2001,"Golf",1,"Tiger Woods"
2001,"Hockey",1,"Mark Messier"
2001,"Soccer",0,NA
2001,"Swimming",3,"Alexander Popov, Michael Phelps, Pieter Van Den Hoogenband"
2001,"Tennis",3,"Pete Sampras, Rafael Nadal, Roger Federer"
2002,"Baseball",1,"Barry Bonds"
2002,"Basketball",2,"John Stockton, Michael Jordan"
2002,"Chess",1,"Garry Kasparov"
2002,"Cricket",0,NA
2002,"Football",4,"Brett Favre, Jerry Rice, Peyton Manning, Tom Brady"
2002,"Golf",1,"Tiger Woods"
2002,"Hockey",1,"Mark Messier"
2002,"Soccer",1,"Cristiano Ronaldo"
2002,"Swimming",4,"Alexander Popov, Eamon Sullivan, Michael Phelps, Pieter Van Den Hoogenband"
2002,"Tennis",3,"Pete Sampras, Rafael Nadal, Roger Federer"
2003,"Baseball",1,"Barry Bonds"
2003,"Basketball",3,"John Stockton, Lebron James, Michael Jordan"
2003,"Chess",1,"Garry Kasparov"
2003,"Cricket",0,NA
2003,"Football",4,"Brett Favre, Jerry Rice, Peyton Manning, Tom Brady"
